id,Failed strategy,Competition,Revenue,HLD,Weak Economy,Cash Flow,External Event,Poor Management,Market Price Variance,Weak Industry,International,Acquisition,Subsidiary,RE Investment,Retail,Currency,Regulation/legal suit,Cost,
199,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,A01234567890123456789012345678901234567890A1234567890
201,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B02
214,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,A02
220,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,B03
221,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,A03
231,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,B04
233,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,A04
235,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,B05
240,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,A05
241,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,B06
247,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,A06
249,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,B07
251,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,A07
254,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,B08
262,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,A08
269,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,B09
270,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,A09
271,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,B10
272,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,A10
273,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,B11
275,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,A11
276,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,B12
277,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,A12
278,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,B13
286,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,A13
287,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,B14
288,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,A14
290,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B15
291,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,A15
292,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,B16
293,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,A16
296,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,B17
297,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,A17
300,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,B18
